iter	Passed	Remaining
0	474	474129
1	732	365365
2	1101	365952
3	1531	381262
4	1845	367229
5	2351	389505
6	2710	384566
7	3066	380228
8	3457	380711
9	3802	376422
10	4088	367587
11	4274	351924
12	4485	340573
13	4731	333219
14	5006	328728
15	5159	317327
16	5281	305385
17	5482	299110
18	5579	288056
19	5670	277872
20	5778	269408
21	5899	262256
22	6102	259224
23	6266	254830
24	6386	249059
25	6555	245564
26	6734	242703
27	6924	240375
28	7127	238661
29	7360	237991
30	7482	233890
31	7544	228232
32	7619	223283
33	7729	219611
34	7798	215027
35	7880	211023
36	7957	207104
37	8040	203561
38	8117	200035
39	8205	196941
40	8286	193827
41	8364	190792
42	8441	187863
43	8521	185147
44	8615	182837
45	8687	180180
46	8768	177790
47	8853	175598
48	8930	173316
49	9014	171277
50	9120	169717
51	9246	168574
52	9324	166607
53	9378	164294
54	9427	161989
55	9505	160227
56	9593	158721
57	9655	156821
58	9715	154953
59	9784	153298
60	9852	151658
61	9924	150147
62	10008	148851
63	10090	147566
64	10150	146007
65	10229	144769
66	10325	143789
67	10381	142288
68	10459	141124
69	10544	140097
70	10627	139055
71	10679	137645
72	10731	136273
73	10785	134970
74	10836	133650
75	10943	133055
76	11013	132021
77	11077	130938
78	11131	129774
79	11193	128721
80	11267	127833
81	11463	128335
82	11531	127404
83	11585	126334
84	11635	125253
85	11685	124190
86	11765	123470
87	11897	123300
88	11979	122625
89	12094	122284
90	12206	121926
91	12311	121512
92	12390	120843
93	12473	120227
94	12576	119808
95	12710	119690
96	12762	118805
97	12811	117921
98	12862	117059
99	12931	116382
100	13017	115869
101	13139	115679
102	13217	115108
103	13298	114573
104	13367	113943
105	13440	113352
106	13524	112873
107	13637	112634
108	13706	112043
109	13804	111692
110	13884	111203
111	13947	110586
112	14026	110101
113	14097	109563
114	14148	108879
115	14201	108223
116	14272	107717
117	14370	107412
118	14423	106785
119	14473	106138
120	14525	105522
121	14595	105036
122	14670	104604
123	14728	104050
124	14801	103610
125	14856	103051
126	14925	102600
127	15005	102228
128	15064	101717
129	15115	101156
130	15170	100632
131	15250	100283
132	15324	99897
133	15403	99544
134	15466	99101
135	15527	98643
136	15584	98171
137	15667	97863
138	15805	97905
139	16001	98295
140	16103	98104
141	16172	97718
142	16262	97463
143	16337	97119
144	16435	96911
145	16497	96500
146	16549	96029
147	16599	95561
148	16676	95246
149	16741	94869
150	16810	94518
151	16882	94183
152	16930	93727
153	16992	93347
154	17053	92970
155	17142	92744
156	17270	92731
157	17384	92646
158	17461	92358
159	17560	92191
160	17787	92694
161	17892	92557
162	17998	92423
163	18077	92150
164	18202	92118
165	18315	92019
166	18514	92352
167	18673	92477
168	18835	92616
169	18978	92660
170	19181	92992
171	19381	93302
172	19501	93225
173	19662	93340
174	19963	94114
175	20180	94479
176	20487	95261
177	20768	95906
178	20992	96282
179	21194	96552
180	21253	96168
181	21364	96021
182	21435	95700
183	21499	95344
184	21551	94941
185	21611	94577
186	21684	94273
187	21793	94129
188	21869	93842
189	21967	93651
190	22041	93359
191	22111	93050
192	22162	92668
193	22227	92348
194	22294	92037
195	22359	91720
196	22437	91456
197	22503	91152
198	22578	90881
199	22652	90611
200	22725	90337
201	22792	90042
202	22876	89815
203	22937	89500
204	22989	89153
205	23063	88895
206	23153	88698
207	23219	88413
208	23293	88160
209	23367	87905
210	23426	87598
211	23480	87277
212	23548	87009
213	23666	86926
214	23717	86595
215	23795	86369
216	23868	86125
217	23936	85862
218	24015	85643
219	24107	85470
220	24184	85246
221	24257	85010
222	24329	84772
223	24410	84564
224	24481	84325
225	24551	84084
226	24604	83784
227	24660	83499
228	24730	83262
229	24802	83035
230	24849	82725
231	24910	82463
232	24993	82275
233	25069	82065
234	25137	81830
235	25188	81542
236	25238	81254
237	25292	80978
238	25364	80761
239	25469	80652
240	25530	80406
241	25589	80152
242	25677	79991
243	25796	79926
244	25925	79893
245	26007	79713
246	26157	79744
247	26248	79591
248	26397	79616
249	26503	79510
250	26592	79355
251	26673	79174
252	26739	78949
253	26792	78688
254	26858	78469
255	26922	78243
256	26989	78029
257	27075	77867
258	27152	77682
259	27229	77500
260	27337	77404
261	27435	77278
262	27536	77164
263	27630	77031
264	27713	76864
265	27875	76920
266	27978	76809
267	28075	76682
268	28192	76611
269	28310	76542
270	28453	76540
271	28534	76372
272	28620	76216
273	28711	76075
274	28806	75944
275	28907	75828
276	28973	75624
277	29058	75469
278	29128	75275
279	29217	75130
280	29263	74878
281	29342	74708
282	29415	74525
283	29475	74310
284	29524	74070
285	29638	73991
286	29710	73809
287	29759	73572
288	29824	73375
289	29895	73192
290	30017	73135
291	30139	73079
292	30246	72984
293	30321	72812
294	30414	72686
295	30561	72686
296	30688	72639
297	30796	72548
298	30892	72427
299	31145	72672
300	31782	73807
301	31976	73906
302	32120	73887
303	32222	73771
304	32320	73648
305	32388	73456
306	32499	73362
307	32619	73287
308	32701	73128
309	32795	72995
310	32915	72921
311	32985	72736
312	33059	72561
313	33128	72377
314	33225	72251
315	33298	72076
316	33368	71894
317	33441	71719
318	33510	71537
319	33579	71357
320	33657	71194
321	33742	71047
322	33827	70900
323	33936	70805
324	34006	70627
325	34090	70481
326	34180	70347
327	34255	70182
328	34336	70028
329	34405	69854
330	34480	69690
331	34585	69587
332	34668	69441
333	34762	69317
334	34838	69157
335	34913	68996
336	34980	68818
337	35094	68735
338	35168	68574
339	35226	68381
340	35281	68182
341	35337	67987
342	35413	67833
343	35538	67770
344	35608	67604
345	35678	67438
346	35742	67262
347	35836	67142
348	36013	67176
349	36129	67097
350	36216	66963
351	36449	67099
352	36533	66961
353	36614	66816
354	36767	66802
355	36865	66689
356	36960	66569
357	37014	66378
358	37126	66289
359	37243	66210
